Identifiant;Nom générique;Nom de la manifestation;Descriptif court;Descriptif long;Date début;Date fin;Horaires;Dates affichage - horaires;Modification dernière minute;Lieu - nom;Lieu - adresse 1;Lieu - adresse 2;Lieu - adresse 3;Code postal;Commune;Type de manifestation;Catégorie de la manifestation;Thème de la manifestation;Station métro/Tram à proximité;GoogleMap latitude;GoogleMap longitude;Réservation téléphone;Réservation email;Réservation site internet;Manifestation gratuite;Tarif normal;Tarif enfant;Tranche âge enfant;Geo Point
FMAMID031V50ISGN;;GIMS;"Report du concert prévu le 19 juin 2020. 

De la « Sexion d’Assaut » au « Fuego tour », GIMS, l’artiste de 33 ans, premier rappeur francophone à remplir le Stade De France, célèbrera en 2020 ses 10 ans de carrière !";"Soprano, SCH, Vegedream, Orelsan, etc… : Gims annonce des invités de folie pour le Décennie Tour !
Pour fêter ses 10 ans de carrière, Gims se lance dans le Décennie Tour avec 12 dates, dont une en Belgique et une au Luxembourg. Une tournée marathon, puisqu’il va enchaîner ces 12 dates en un mois, entre le 6 Mars et le 4 Avril.
Et après son concert événement au Stade de France, le membre de la Sexion d’Assaut semble poursuivre dans les shows impressionnants.
En effet, il vient d’annoncer sur Instagram la liste des premiers invités de cette tournée, et il y a du beau monde : Kendji, Soprano, Alonzo, VITAA et Slimane, Orelsan, SCH, Vegedream, Soolking, Heuss L’enfoiré et Gradur. Rien que ça !
Ça promet d’être le feu sur scène !";2020-11-22;2020-11-22;A 18h.;Le 22/11/2020 - A 18h.;;ZENITH TOULOUSE METROPOLE;;11 Avenue Raymond Badiou;;31300;TOULOUSE;Musique;Concert;;Zénith;43.598264;1.4092542;;;zenith-toulousemetropole.com/programmation/gims-2208.html;;;;;43.598264,1.4092542
FMAMID031V50IEII;;KALLY'S MASHUP;"Report du concert prévu le 14 avril. 

Pour la première fois, les stars de Kally’s Mashup viennent en concert en France. Un spectacle irrésistible, chanté et dansé par les stars internationales de la série à succès diffusée sur Gulli.";"Pour la première fois, les chansons et la chorégraphie de Kally’s Mashup en live : musique, danse, vidéos et mille couleurs vont embraser le public dans un super concert interactif.

Le concert initialement prévu le mardi 14 avril 2020 à 17h30 au Zénith Métropole de Toulouse est reporté au lundi 26 octobre 2020 à 17h30.
Les billets que vous avez en votre possession restent valables pour la nouvelle date. Si toutefois vous souhaitiez vous faire rembourser, nous vous invitons à vous rapprocher de votre point de vente avant le 15 mai 2020.
Nous vous prions d’accepter nos plus sincères excuses pour la gêne occasionnée mais sommes heureux d’avoir pu trouver une solution de report. Nous restons à votre disposition pour toute question complémentaire.""";2020-10-26;2020-10-26;A 17h30;Le 26/10/2020 - A 17h30;REPORTE;ZENITH TOULOUSE METROPOLE;;11 Avenue Raymond Badiou;;31000;TOULOUSE;Musique;Concert;Musique de variété;Zénith;43.598264;1.4092542;;;zenith-toulousemetropole.com/programmation/kallys-mashup-2230.html;;;;8 - 12 ans  /  plus de 12 ans;43.598264,1.4092542
FMAMID031V50HRSI;;LA CHAPELLE DES CARMELITES (ANNULE);"En raison des consignes de sécurité liées au Covid-19, nos visites guidées sont annulées jusqu'au 31 mai. 

Surnommée la chapelle Sixtine toulousaine, elle est peu voire méconnue de beaucoup.";"Visite proposée par l'office de tourisme.

Il faut dire qu'elle est bien cachée! Située dans une petite rue et dissimulée derrière un porche, elle allie parfaitement la simplicité de son architecture au foisonnement de son décor peint.

RDV. : Devant la chapelle, 1 rue du Périgord. 
Réservation conseillée, les places étant limitées.";2020-05-20;2020-05-20;A 14h30;Le 20/05/2020 - A 14h30;ANNULE;OFFICE DE TOURISME DE TOULOUSE;Donjon du Capitole;Square du Général De Gaulle;;31000;TOULOUSE;Culturelle;Visites guidées;Musée;Capitole;43.6046256;1.444205;0 892 180 180 (0,45 € TTC/min);infos@toulouse-tourisme.com;resavacances.toulouse-tourisme.com/fr/evenements;;7,00 €;;;43.6046256,1.444205
FMAMID031V50E58F;;LA VILLE A VELO (ANNULE);"En raison des consignes de sécurité liées au Covid-19, nos visites guidées sont annulées jusqu'au 31 mai. 

Cet itine´raire vous emme`ne du centre historique vers les berges de la Garonne et des canaux.";"Visite guidée proposée par l'office de tourisme en partenariat avec la maison du vélo. 

Cet itinéraire vous emmène à la découverte du centre historique, des berges de la Garonne et des canaux. Vous voyez les principaux monuments de la ville et le quartier Saint-Étienne tout en profitant des jardins et de magnifiques points de vue.

En partenariat avec la Maison du Vélo. Durée : 2 heures, à vélo. Location du vélo possible avant le départ en visite à la Maison du vélo (se présenter 15 minutes avant, supplément de 5 €). Réservation conseillée, nombre limité de places.";2020-05-22;2020-05-22;A 10h.;Le 22/05/2020 - A 10h.;ANNULE;MAISON DU VELO;;12 Boulevard Bonrepos;;31000;TOULOUSE;Culturelle;Visites guidées;;Marengo SNCF;43.6107552;1.4522926;08 92 18 01 80 (0,45 € TTC/min);infos@toulouse-tourisme.com;resavacances.toulouse-tourisme.com/fr/evenements;;De 10,00 € à 12,00 €;;;43.6107552,1.4522926
FMAMID031V504MH2;;LES ALLEES, BROCANTE ET ANTIQUITES;120 brocanteurs et antiquaires.;Plus de 120 exposants professionnels vous attendent. Un expert est présent samedi et dimanche sur ce rendez-vous mensuel. Restauration sur place. (Le vendredi déballage dès 8h00);2020-10-02;2020-10-04;Vendredi de 7h à 18h. Samedi de 10h à 18h. Dimanche de 10h à 18h.;Du 02/10/2020 au 04/10/2020 - Vendredi de 7h à 18h. Samedi de 10h à 18h. Dimanche de 10h à 18h.;;ALLEES FRANCOIS VERDIER;;Allées François Verdier;;31000;TOULOUSE;Manifestation commerciale;Brocante;;François Verdier;43.5991483;1.4525687;;;www.brocante-les-allees.fr/fr/;Oui;;;;43.5991483,1.4525687
FMAMID031V502HE0;;LES ALLEES, BROCANTE ET ANTIQUITES;Plus de 120 exposants professionnels vous attendent.;Plus de 120 exposants professionnels vous attendent. Un expert est présent samedi et dimanche sur ce rendez-vous mensuel. Restauration sur place. (Le vendredi déballage dès 8h00);2020-08-07;2020-08-09;Vendredi de 7h à 18h. Samedi de 10h à 18h. Dimanche de 10h à 18h.;Du 07/08/2020 au 09/08/2020 - Vendredi de 7h à 18h. Samedi de 10h à 18h. Dimanche de 10h à 18h.;;ALLEES FRANCOIS VERDIER;;Allées François Verdier;;31000;TOULOUSE;Manifestation commerciale;Brocante;;François Verdier;43.599179;1.452455;;;www.brocante-les-allees.fr/fr/;Oui;;;8 - 12 ans  /  plus de 12 ans;43.599179,1.452455
FMAMID031V502G8Z;;LES ALLEES, BROCANTE ET ANTIQUITES;Plus de 120 exposants professionnels vous attendent.;Plus de 120 exposants professionnels vous attendent. Un expert est présent sur ce rendez-vous mensuel. Restauration sur place. (Le vendredi déballage dès 8h00);2020-06-05;2020-06-07;Vendredi 7h 18h, Samedi 10h 18h, Dimanche 10h 18h.;Du 05/06/2020 au 07/06/2020 - Vendredi 7h 18h, Samedi 10h 18h, Dimanche 10h 18h.;;ALLEES FRANCOIS VERDIER;;Allées François Verdier;;31000;TOULOUSE;Manifestation commerciale;Brocante;;François Verdier;43.599179;1.452455;;;www.brocante-les-allees.fr/fr/;Oui;;;;43.599179,1.452455
FMAMID031V504MH1;;LES ALLEES, BROCANTE ET ANTIQUITES;Plus de 120 exposants professionnels vous attendent.;Un expert est présent samedi et dimanche sur ce rendez-vous mensuel. Restauration sur place. (Le vendredi déballage dès 8h00);2020-09-04;2020-09-06;Vendredi de 7h à 18h. Samedi de 10h à 18h. Dimanche de 10h à 18h.;Du 04/09/2020 au 06/09/2020 - Vendredi de 7h à 18h. Samedi de 10h à 18h. Dimanche de 10h à 18h.;;ALLEES FRANCOIS VERDIER;;;;31000;TOULOUSE;Manifestation commerciale;Brocante;;François Verdier;43.5991483;1.4525687;;;www.brocante-les-allees.fr/fr/;Oui;;;;43.5991483,1.4525687
FMAMID031V50577K;;LES ALLEES, BROCANTE ET ANTIQUITES;"Plus de 120 exposants professionnels vous attendent. 
Vendredi et dimanche, pas de brocante le samedi 6 avril";Plus de 120 exposants professionnels vous attendent. Un expert est présent samedi et dimanche sur ce rendez-vous mensuel. Restauration sur place.;2021-04-02;2021-04-04;"Vendredi de 7h à 18h.
Brocante du samedi annulée.  
Dimanche de 10h à 18h.";"Du 02/04/2021 au 04/04/2021 - Vendredi de 7h à 18h.
Brocante du samedi annulée.  
Dimanche de 10h à 18h.";;ALLEES FRANCOIS VERDIER;;Allées François Verdier;;31000;TOULOUSE;Manifestation commerciale;Brocante;;François Verdier;43.5994497;1.45214433;;;www.brocante-les-allees.fr;Oui;;;8 - 12 ans  /  plus de 12 ans;43.5994497,1.45214433
FMAMID031V50IGVB;;LES GRANDS MONUMENTS DE TOULOUSE (ANNULE);"En raison des consignes de sécurité liées au Covid-19, nos visites guidées sont annulées jusqu'au 31 mai. 

Cette visite au coeur historique de Toulouse propose un concentré de monuments emblématiques : à vous le Capitole, la basilique Saint-Sernin, le couvent des Jacobins et l’hôtel de Bernuy !";"Visite guidée proposée par l'office de tourisme. 
Vous découvrez la place du Capitole ; la Basilique Saint-Sernin, chef d’oeuvre de l’art roman, étape majeure sur les Chemins de Saint-Jacques de Compostelle ; l’église et le cloître des Jacobins, maison mère des Dominicains à l’extraordinaire architecture, et l’hôtel de Bernuy, témoin de l’âge d’or toulousain.

RDV : Devant l'Office de tourisme (Donjon du Capitole).

La réservation est conseillée, les places étant limitées.";;;A 14h30 A 14h30 A 14h30 A 14h30;Le 05/05/2020 - A 14h30 Le 12/05/2020 - A 14h30 Le 19/05/2020 - A 14h30 Le 26/05/2020 - A 14h30;ANNULE;OFFICE DE TOURISME DE TOULOUSE;Donjon du Capitole.;Square du Général De Gaulle;;31000;TOULOUSE;Culturelle;Visites guidées;;Capitole;43.603908;1.44470599;0 892 180 180 (0,45 € TTC/min);infos@toulouse-tourisme.com;resavacances.toulouse-tourisme.com/fr/evenements;;De 10,00 € à 12,00 €;;;43.603908,1.44470599
FMAMID031V50C7M5;;LES VISITES EVENEMENTS : BALADES ARCHITECTURALES;"Parcours île du Ramier. 

Ces visites sorties tout droit de notre imagination font la part belle aux événements du moment.

Vous vous laisserez bien tenter, non ?";"L'office de tourisme, la Maison de l'Architecture Midi-Pyrénées et Toulouse Métropole mettent leur savoir-faire en commun pour proposer une exploration originale de la ville. 

Deux voix : un guide et un architecte vous proposent une exploration originale des bâtiments modernes et contemporains ainsi que des grands courants architecturaux qui participent à l'identité de la ville. 

RDV: arrêt de tram T1 ou T2, Ile du Ramier.  

Gratuit. Réservation obligatoire à partir de mi-septembre par mail: contact@maop.fr";2020-06-06;2020-06-06;A 14h.;Le 06/06/2020 - A 14h.;;ARRET DE TRAM T1 OU T2 ILE DU RAMIER;;;;31000;TOULOUSE;Culturelle;Visites guidées;;Ile du Ramier;43.6046256;1.444205;;contact@maop.fr;;Oui;;;;43.6046256,1.444205
FMAMID031V50ISE2;;M POKORA;Préparez-vous pour l'événement musical de 2020!;"« Suite aux nouvelles directives du gouvernement, le concert de M POKORA initialement prévu le Vendredi 12 Juin 2020 au Zénith Toulouse Métropole, est reporté le Samedi 03 Octobre 2020 à 20h00.
Les billets achetés pour le concert du vendredi 12 Juin 2020 restent valables pour la date de report (même heure, même salle, même placement).
Remboursements possible auprès de votre point de vente jusqu’au 17 juillet 2020 inclus.

Habitué des gros shows, M. POKORA revient avec le Pyramide Tour, certainement le plus ambitieux de sa carrière. Pour ce spectacle qui promet d'être bien plus qu'un concert, ce performer hors norme sera entouré de ses danseurs et musiciens et d'un décor de scène et jeux de lumières qui feront voyager le public hors du temps.";2020-10-03;2020-10-03;A 20h.;Le 03/10/2020 - A 20h.;REPORTE;ZENITH TOULOUSE METROPOLE;;11 Avenue Raymond Badiou;;31300;TOULOUSE;Musique;Concert;;Zénith;43.598264;1.4092542;;;zenith-toulousemetropole.com/programmation/m-pokora-2228.html;;;;;43.598264,1.4092542
