Identifiant;Nom générique;Nom de la manifestation;Descriptif court;Descriptif long;Date début;Date fin;Horaires;Dates affichage - horaires;Modification dernière minute;Lieu - nom;Lieu - adresse 1;Lieu - adresse 2;Lieu - adresse 3;Code postal;Commune;Type de manifestation;Catégorie de la manifestation;Thème de la manifestation;Station métro/Tram à proximité;GoogleMap latitude;GoogleMap longitude;Réservation téléphone;Réservation email;Réservation site internet;Manifestation gratuite;Tarif normal;Tarif enfant;Tranche âge enfant;Geo Point
FMAMID031V50AM33;;LES QUATRE SAISONS;"Concert classique.
Orchestre « Les Violons de France »";"Certaines  œuvres ont leur secret. Les Quatre Saisons en possèdent certainement un, elles qui sont parvenues à une telle célébrité dans la musique classique. 
C’est Frédéric Moreau, violon solo qui en interprétera l’intégralité, accompagné par Les Violons de France. Egalement au programme le célèbre adagio d’Albinoni, Le canon de Pachelbel, la cantate Jésus que ma joie demeure de Bach. En cette période de l’Assomption, les Ave Maria de Schubert et de Gounod complèteront ce programme d’environ 1h30.

Au programme :
Les Quatre Saisons de Vivaldi  -  Ave Maria de Schubert et de Gounod
Adagio d’Albinoni – Le Canon de Pachelbel – Jésus, que ma joie demeure de Bach.

Billets en vente : Office de Tourisme, Fnac, ainsi qu’à l’entrée de l’église 1 heure avant le concert.";21/08/2020;21/08/2020;A 20h30.;Le 21/08/2020 - A 20h30.;;EGLISE SAINT EXUPERE;;4 rue Lamarck;;31400;TOULOUSE;Musique;Concert;Musique classique;Palais de Justice;43.5936257;1.4488052;01 42 50 96 18;;;;De 15,00 € à 25,00 €;;;43.5936257,1.4488052
FMAMID031V50IW58;;ALI BABA ET LES QUARANTE VOLEURS (LES CONCERTS EN FAMILLE);"UNE HEURE EN FAMILLE POUR FAIRE SES PREMIERS PAS AVEC L’ORCHESTRE OU APPROFONDIR SES CONNAISSANCES

FAIRE SES PREMIERS PAS AVEC L’ORCHESTRE";"CHRISTOPHE MANGOU
DIRECTION
RÉGIS ROYER
COMÉDIEN

L’univers des Mille et Une nuits met le point final à la saison jeune public. Aime´ de tous, le vaillant et inge´nieux Ali Baba saura-t-il contourner la ruse des brigands ? La musique de Damien Lehman, dont les accents rythmiques et mélodiques s’inspirent de la musique traditionnelle persane, accompagne les trouvailles du face´tieux he´ros.

DAMIEN LEHMAN
MUSIQUE";23/05/2021;23/05/2021;Dimanche à 10h45.;Le 23/05/2021 - Dimanche à 10h45.;;HALLE AUX GRAINS;;1 Place Dupuy;;31000;TOULOUSE;Musique;Concert;Musique classique;François Verdier;43.6002193;1.4533432;05 61 63 13 13;;www.onct.toulouse.fr;;;;8 - 12 ans  /  plus de 12 ans;43.6002193,1.4533432
FMAMID031V50IW3C;;BATTEMENTS DE CHŒURS (LES CONCERTS EN FAMILLE);"UNE HEURE EN FAMILLE POUR FAIRE SES PREMIERS PAS AVEC L’ORCHESTRE OU APPROFONDIR SES CONNAISSANCES

FAIRE SES PREMIERS PAS AVEC L’ORCHESTRE";"CHRISTOPHE MANGOU DIRECTION
ECLATS
CHŒUR D’ENFANTS ET DE JEUNES
FRANÇOIS TERRIEUX CHEF DU CHŒUR

Le chœur toulousain d’enfants et d’adolescents ECLATS dirigé par François Terrieux s’est imposé comme une formation hors du commun, où les jeunes découvrent l’art du chant et des pratiques collectives. Il fête cette année son quinzième anniversaire. Cette nouvelle saison fait la part belle aux souvenirs d’antan, des Choristes aux répertoires populaires.

JOSEP VILA I CASAÑAS
5 FOLK SONGS
CHANTS DU MONDE
LES CHORISTES
PIÈCES CHORALES TIRÉES DU FILM
LES CHORISTES";06/12/2020;06/12/2020;Dimanche à 10h45 et 15h;Le 06/12/2020 - Dimanche à 10h45 et 15h;;HALLE AUX GRAINS;;1 Place Dupuy;;31000;TOULOUSE;Musique;Concert;Musique classique;François Verdier;43.6002193;1.4533432;05 61 63 13 13;;www.onct.toulouse.fr;;;;8 - 12 ans  /  plus de 12 ans;43.6002193,1.4533432
FMAMID031V50IV3M;;BRUCKNER GRANDIOSE , LE FEU AU CLAVIER (ORCHESTRE NATIONAL DU CAPITOLE DE TOULOUSE);"RÊVER, ÉCOUTER, SE RETROUVER

ROBERT TREVINO : DIRECTION";"Couronnement de la symphonie romantique, testament adressé au XIXe siècle… la Symphonie n° 8 de Bruckner est un immense et prodigieux monument de l’orchestre dont l’américain Robert Trevino emprunte les chemins. Une soirée
d’exception pour une œuvre qui ne l’est pas moins. 
 
ANTON BRUCKNER
SYMPHONIE N° 8 EN UT MINEUR, A. 117
(VERSION DE 1890)";14/05/2021;14/05/2021;A 20h.;Le 14/05/2021 - A 20h.;;HALLE AUX GRAINS;;1 Place Dupuy;;31000;TOULOUSE;Musique;Concert;Musique classique;François Verdier;43.6002193;1.4533432;05 61 63 13 13;;www.onct.toulouse.fr;;;;;43.6002193,1.4533432
FMAMID031V50ISHG;;CARMINA BURANA;Evénement musical et chorégraphique, Franceconcert présente Carmina Burana, l’un des chefs d’œuvres les plus célèbres du XXe siècle.;"Fondée sur un recueil de poèmes lyriques, Carmina Burana a été composée par Carl Orff entre 1935 et 1936. Présentée pour la première fois en 1937 à l’Opéra de Francfort, cette pièce magistrale fascine depuis toujours et ne laisse pas indifférent le grand public. Le mouvement le plus célèbre, « O Fortuna », repris à la fin de l’œuvre, est aujourd’hui mondialement connu.

Interprétés avec passion et puissance par les chœurs et les solistes, ces chants profanes et latins nous racontent une histoire de vie, de mort, de destin et surtout d’amour. Près de 100 artistes chantent la joie du retour du printemps et les plaisirs de l’alcool, jouent avec la roue du destin, dansent l’amour et la luxure. Cette nouvelle production s’empare avec sensualité et émotion de ce phénomène musical pour montrer que la musique, le geste et la parole sont inséparables.

Grand succès du XXème siècle joué dans le monde entier, ce spectacle original et plein de fougue ira à la rencontre du public pour une grande tournée européenne à partir de novembre 2020.";04/12/2020;04/12/2020;A 20h30.;Le 04/12/2020 - A 20h30.;;ZENITH TOULOUSE METROPOLE;;11 Avenue Raymond Badiou;;31300;TOULOUSE;Musique;Concert;;Zénith;43.598264;1.4092542;;;zenith-toulousemetropole.com/programmation/carmina-burana-2169.html;;;;;43.598264,1.4092542
FMAMID031V5079U5;;CASSE NOISETTE;Cette année, le célèbre Bolchoï de Minsk signe son retour exceptionnel en France et viendra vous faire vivre la magie de Noël avec le chef d’œuvre Casse-Noisette !;"Ce conte de Noël raconte l’histoire de la jeune Clara qui reçoit en cadeau un Casse-Noisette en forme de petit bonhomme. Dans une nuit animée d’un mystérieux enchantement, les jouets menés par Casse-Noisette se livrent à une bataille acharnée contre les méchantes souris de la maison. Réveillée par le bruit, Clara décide d’affronter ses peurs en participant au combat et sauve son cher Casse-Noisette du danger. Ému par son courage et plein de gratitude, il se transforme en prince charmant et emmène Clara dans un royaume féérique.

Ballet en deux actes, Casse-Noisette est présenté au public pour la première fois en décembre 1892 à Saint-Pétersbourg au Théâtre Mariinsky. La célèbre musique de Tchaïkovsky interprétée par le talentueux orchestre et la virtuosité des danseurs, sublimés par des décors et costumes époustouflants, feront vibrer petits et grands dans ce monde fantastique. Cette partition inoubliable vous plongera dans une atmosphère magique et vous fera revivre vos rêves d’enfants.

Retrouvez toute la beauté de ce joyau du répertoire classique, idéal en période de Noël.";19/11/2020;19/11/2020;A 20h;Le 19/11/2020 - A 20h;;ZENITH TOULOUSE METROPOLE;;11 Avenue Raymond Badiou;;31000;TOULOUSE;;Spectacle;;Zénith;43.598264;1.4092542;;;https://zenith-toulousemetropole.com/programmation/casse-noisette-2240.html;;;;;43.598264,1.4092542
FMAMID031V50ISH7;;CHANTAL GOYA;LE SOULIER QUI VOLE, le spectacle mythique de Chantal Goya revient pour fêter 40 ans de scène !;"""Dans un petit village d’Alsace des enfants disent au revoir à leur professeur de musique quand ils aperçoivent dans le ciel une cigogne qui vole auprès d’un énorme Soulier. À l’intérieur, une jeune fille... Les enfants reconnaissent leur amie Marie-Rose. Elle leur présente son amie la cigogne Francette. Le géant Balthazar leur a prêté son Soulier contre la promesse de le lui ramener. Marie-Rose a une belle idée en tête, celle d’emmener tous les enfants dans une Forêt Magique où ils retrouveront leurs amis : le Lapin, le Panda, un Coucou, un Château Nougatine. Arrivés dans la Forêt, ils rencontrent tous leurs amis et, émerveillés, décident de partir dans un petit train vers Animauxville. Là, tout le village est tenu par des animaux : la mairie, le café, la pâtisserie, l’école et l’école de musique. Une grande fête costumée est organisée. Mais le temps passe très vite. Il faut se quitter et repartir en Alsace. La cigogne Francette part la première, puis vient le tour de Marie- Rose dans son beau Soulier qui vole. Elle s’en va rejoindre le Pays des Géants pour rendre, comme promis, le Soulier à son ami Balthazar.""

SUCCÈS / PROLONGATIONS !";31/10/2020;31/10/2020;A 15h;Le 31/10/2020 - A 15h;;ZENITH TOULOUSE METROPOLE;;11 Avenue Raymond Badiou;;31000;TOULOUSE;;Spectacle;Jeune public;Zénith;43.598264;1.4092542;;;zenith-toulousemetropole.com/programmation/chantal-goya-2233.html;;;;;43.598264,1.4092542
FMAMID031V50IEGL;;CHRISTOPHE MAE;Report du concert initialement prévu le 21 mars 2020.;"Christophe Maé enfin de retour ! Depuis plus d’une décennie, le chanteur enchaîne les succès, chacune de ses tournées crée l’événement.

Christophe Maé sortira son nouveau single « Les gens » le 4 septembre, extrait de son nouvel album à paraître à l’automne, et remontera sur scène dans toute la France en 2020. Ce prochain show ambitieux et généreux nous réserve de nombreuses surprises !";27/10/2020;27/10/2020;A 20h.;Le 27/10/2020 - A 20h.;;ZENITH TOULOUSE METROPOLE;;11 Avenue Raymond Badiou;;31300;TOULOUSE;Musique;Concert;;Zénith;43.598264;1.4092542;;;zenith-toulousemetropole.com/programmation/christophe-mae-2199.html;;;;;43.598264,1.4092542
FMAMID031V50IEHR;;EVA;"« On Fleek tout le time, adversaire de taille, enchante´e, c’est Eva. »

La date du concert d'Eva, initialement prévue le 13 mai 2020 au Zénith Toulouse Métropole est reportée au 9 octobre 2020.";"Les billets restent valables pour cette date de report.
Les personnes ne pouvant se rendre au concert reporté, sont invitées à s'adresser à leur point de vente pour effectuer une demande de remboursement jusqu'au 30 juin 2020 conformément aux conditions générales de vente.

La jeune niçoise aux 200 millions de vues youtube avec un disque d'or à son actif et un single de platine ""ON FLEEK"" fera sa première tournée en 2020 dans les Zénith de France. L’ascension fulgurante de la jeune artiste, a^ge´e de seulement 18 ans, justifie des concerts dans de si grandes salles. Eva, est de´ja` conside´re´e comme la re´ve´lation pop urbaine de l’anne´e.
Eva Queen c’est un e´tat d’esprit, des valeurs, un message rempli de force, d’inde´pendance et de fe´minisme, ve´hicule´ et revendique´ par les codes de sa ge´ne´ration.
« On Fleek tout le time, adversaire de taille, enchante´e, c’est Eva. »";09/10/2020;09/10/2020;A 20h;Le 09/10/2020 - A 20h;;ZENITH TOULOUSE METROPOLE;;11 Avenue Raymond Badiou;;31300;TOULOUSE;Musique;Concert;Musique de variété;Zénith;43.598264;1.4092542;;;zenith-toulousemetropole.com/programmation/eva-2229.html;;;;;43.598264,1.4092542
FMAMID031V50IMRF;;EXPOSITION - LA VIE QUOTIDIENNE A TOULOUSE : 1938 - 1944;Venez découvrir dans le nouvel espace d'exposition temporaire du Musée départemental de la Résistance et de la Déportation l'exposition des photographies de Germaine Chaumel du 29 février au 29 août.;"A travers une sélection en grande partie inédite de photographies, le travail sensible de Germaine Chaumel nous apporte un témoignage émouvant du quotidien. Avant-guerre, ses photographies sont l’occasion de voir un mode de vie désuet. Durant la guerre elles nous plongent dans le quotidien de la dictature puis de l'Occupation.

Les photographies qui sont présentées ont été sélectionnées avec Madame Pilar Martinez-Chaumel, petite fille de Germaine.

Tout au long de l'exposition des animations, visites et conférences seront organisées.";16/04/2020;29/08/2020;Du mardi au samedi de 10h à 18h.;Du 16/04/2020 au 29/08/2020 - Du mardi au samedi de 10h à 18h.;;MUSEE DEPARTEMENTAL DE LA RESISTANCE & DE LA DEPORTATION;;52 Allée des Demoiselles;;31400;TOULOUSE;Culturelle;Exposition;Historique;;43.589067;1.456827;05 34 33 17 40;;musee-resistance.haute-garonne.fr/fr/index.html;Oui;;;;43.589067,1.456827
FMAMID031V50I4WQ;;EXPOSITION : SECURITE AU TRAVAIL;Comment prévenir efficacement les accidents du travail ?;"En image et avec humour bien sûr ! Souriez, c’est gagné, le message atteint sa cible.
Les graphismes sont explicites et le texte minimaliste pour ces images percutantes qui ne laissent pas indifférent.
Véritables outils de prévention des risques professionnels, ces affiches imprimées dans de petits formats étaient placées sur le lieu de travail des ouvriers, dans les ateliers et les vestiaires.";15/04/2020;30/08/2020;Du mardi au dimanche de 10h à 18h.;Du 15/04/2020 au 30/08/2020 - Du mardi au dimanche de 10h à 18h.;;MATOU, MUSEE DE L'AFFICHE DE TOULOUSE;;58 Allées Charles de Fitte;;31300;TOULOUSE;Culturelle;Exposition;;Saint Cyprien République;43.6002114;1.43011835;05 81 91 79 17;musee.affiche@mairie-toulouse.fr;;;De 2,00 € à 4,00 €;;4 - 7 ans  /  8 - 12 ans  /  plus de 12 ans;43.6002114,1.43011835
FMAMID031V5016DA;;EXPOSITION TEMPORAIRE : DE L'AUTRE CÔTÉ DU RÊVE.;Collections de la Fondation des Treilles;Dans la logique des expositions consacrées aux collections privées, la Fondation Bemberg présente du 26 juin au 1er novembre 2020, celle, tout à fait exceptionnelle, de la Fondation des Treilles, présidée par Maryvonne de Saint Pulgent, collection constituée par Anne Gruner-Schlumberger (1905 -1993) dans son domaine de Tourtour. La Fondatrice des Treilles avait le goût des collections, et mêlait avec éclectisme et talent le marbre des antiques au métal des hautes tiges flexibles de Takis, l’art moderne le plus rare et l’art populaire le plus modeste, les lampadaires de Giacometti aux tables des réfectoires des couvents, les coffrets de mariage bourguignons aux papiers découpés des cubistes. Elle souhaitait également qu’après sa disparition, une partie des œuvres de sa collection aillent de ville en ville vers le grand public. C’est la raison d’être de cette exposition.;26/06/2020;31/10/2020;Nocturne le jeudi jusqu'à 20h30.;Du 26/06/2020 au 31/10/2020 - Nocturne le jeudi jusqu'à 20h30.;;FONDATION BEMBERG;;Hôtel d'Assézat;;31000;TOULOUSE;Culturelle;Conférence;;Esquirol;43.600089;1.442078;05 61 12 06 89;service.visites@fondation-bemberg.fr;www.fondation-bemberg.fr;;De 5,00 € à 8,00 €;;;43.600089,1.442078
FMAMID031FS00028;;FESTIVAL RIO LOCO AFRIKA (REPORTÉ DU 17 AU 20 JUIN 2021);Pour son 25ème anniversaire en 2020, la thématique sera consacrée pour la 1ère fois à un continent : l’Afrique, plurielle, jeune et créative.;« Mama Afrika » sera au rendez-vous de la Prairie des Filtres, du 17 au 21 juin 2020.;17/06/2020;20/06/2020;;Du 17/06/2020 au 20/06/2020;REPORTE;PRAIRIE DES FILTRES;;;;31000;TOULOUSE;Musique;Festival;;;43.6043902;1.448302;05 31 22 99 00;;www.rio-loco.org;;;;;43.6043902,1.448302
FMAMID031V50G5CN;;GERMAINE AIME TOULOUSE - DU TEMPS DES HALLES…;Germaine aime Toulouse est une série de visite guidée théâtralisée !;"Visite de Paysdoc.com. 

Née en 1905 à Auriac-sur-Vendinelle, Germaine s'est installée à Toulouse avec sa famille peu de temps avant la Première Guerre Mondiale. Tous les samedis, elle part aux Carmes faire une balade avant son marché. Elle vous accompagnera donc pour une visite de ce beau quartier avec sa vision bien à elle ! En sa compagnie vous découvrirez le temps des Halles du Marché des Carmes mais pas que ! 

Visite pédestre théâtralisée - 1h dans le quartier des Carmes

MESURES SANITAIRES: 
Afin de sécuriser ces retrouvailles, vos guides :
-Porteront un masque
-Feront la visite avec un micro portatif (pour éviter les regroupements et être
mieux entendus – sauf en intérieur)
-Auront du gel hydroalcoolique à disposition

Tout comme nos guides, nous vous invitons à faire preuve de prudence et de citoyenneté. Voici les mesures afin de pouvoir assister à nos visites : 
- Respecter une distance de 1 mètre entre vous et les autres participants. 
-Port du masque obligatoire. Pour rappel, le masque doit couvrir entièrement votre nez, bouche et menton. Nous vous demandons de respecter le port correct afin de ne pas mettre les autres en danger.
-Privilégier le billet électronique, c’est bon pour nous et pour la planète ??
-Si vous êtes malade, appelez-nous au 05 61 73 17 96 au plus tard 5 jours avant la visite afin de reporter votre place sur une autre date de visite. 
-Toute personne présentant des symptômes ou ne respectant pas les mesures de sécurité ne sera pas acceptée en visite. Nous vous rappelons que ces mesures exceptionnelles sont mises en place pour préserver votre santé et celle des autres.";;;De 11h à 12h De 14h à 15h;Le 27/06/2019 - De 11h à 12h Le 27/06/2020 - De 14h à 15h;;TOULOUSE;;;;31000;TOULOUSE;Insolite;Visites guidées;;;43.6046256;1.444205;;;www.paysdoc.com;;16,00 €;;;43.6046256,1.444205
FMAMID031V50IOPJ;;GIMS (REPORTE AU 22 NOVEMBRE);"Report du concert prévu le 25 mars 2020. 

De la « Sexion d’Assaut » au « Fuego tour », GIMS, l’artiste de 33 ans, premier rappeur francophone à remplir le Stade De France, célèbrera en 2020 ses 10 ans de carrière !";"À cette occasion, GIMS prépare un nouvel album et la tournée DÉCENNIE TOUR.

Après le succès de son 3ème album studio « Ceinture Noire » et sa réédition baptisée « transcendance » qui occupa pendant plus de 9 semaines la première place des classements musicaux et certifiée disque de Diamant, GIMS remettra ses lunettes noires et fêtera avec son public ses 10 ans de carrière en lui réservant un show époustouflant : DÉCENNIE TOUR
12 Dates Uniques (10 dates en France, 1 date en Belgique, 1 date au Luxembourg) où GIMS retracera les plus beaux moments de ses 10 ans de carrière, accompagné sur scène d’invités surprises et prestigieux.

De « Sapé comme Jamais » à « La Même » en passant par « Bella », « Miami Vice » ou encore les hits de ses débuts avec la Sexion D’Assaut tels que « Wati by night », « Désolé », retrouvez GIMS, accompagné de ses danseurs et ses musiciens pour fêter ensemble cet anniversaire !";20/06/2020;20/06/2020;A 20h30.;Le 20/06/2020 - A 20h30.;REPORTE;ZENITH TOULOUSE METROPOLE;;11 Avenue Raymond Badiou;;31300;TOULOUSE;Musique;Concert;;Zénith;43.598264;1.4092542;;;zenith-toulousemetropole.com/programmation/gims-2208.html;;;;;43.598264,1.4092542
FMAMID031V50IV1T;;HAPPY HOUR… À VIENNE (ORCHESTRE NATIONAL DU CAPITOLE DE TOULOUSE);"RÊVER, ÉCOUTER, SE RETROUVER

UNE HEURE CONSACRÉE AUX CHEFS-D’ŒUVRE DU GRAND RÉPERTOIRE, AFIN DE DÉCOUVRIR LES PLUS BELLES PAGES SYMPHONIQUES

LEO MCFALL : DIRECTION";"Les concerts Happy Hour : un rendezvous du samedi incontournable
pour les mélomanes toulousains. Une heure, consacrée aux chefsd’œuvre du grand répertoire, afin de découvrir les plus belles pages symphoniques.
Vienne, patrie de Schubert, est à l’honneur; à travers l’une de ses œuvres majeures – la Symphonie n° 9–, cet Happy Hour esquisse un beau portrait du plus discret de romantiques.

FRANZ SCHUBERT
SYMPHONIE N°9 « LA GRANDE »
EN UT MAJEUR, D. 944";06/02/2021;06/02/2021;A 18h.;Le 06/02/2021 - A 18h.;;HALLE AUX GRAINS;;1 Place Dupuy;;31000;TOULOUSE;Musique;Concert;Musique classique;François Verdier;43.6002193;1.4533432;05 61 63 13 13;;www.onct.toulouse.fr;;;;;43.6002193,1.4533432
FMAMID031V50IBH3;;HAPPY HOUR… AVEC LA BOHEME (ANNULE);Une heure consacrée aux chefs-d'oeuvre du grand répertoire, afin de découvrir les plus belles pages symphoniques.;"L’été a les couleurs de la Bohème. La série des Happy Hour se clôt par un périple en Tchécoslovaquie, au son de la Vltava dont Smetana sut exalter les vastes tourbillons comme les plus modestes ruisseaux. Une invitation au voyage !

JIRÍ ROŽEN / DIRECTION

BENDRICH SMETANA
- MÁ VLAST, - « VLTAVA » (LA MOLDAU) - « ŠÁRKA »
DVORÁK
- SYMPHONIE N° 8 « TCHÉCOSLOVAQUE » EN SOL MAJEUR, OP. 88";27/06/2020;27/06/2020;A 18h.;Le 27/06/2020 - A 18h.;ANNULE;HALLE AUX GRAINS;;Place Dupuy;;31000;TOULOUSE;Musique;Concert;Jazz et blues, Musique classique;François Verdier;43.5997775;1.45519132;05 61 63 13 13;;www.web.digitick.com/27-06-2020-happy-hour-concert-halle-aux-grains-zone-toulouse-27-juin-2020-css5-onct-pg101-ri6267193.html;;De 5,00 € à 22,00 €;;;43.5997775,1.45519132
FMAMID031V50IUZX;;HAPPY HOUR… EN ITALIE (ORCHESTRE NATIONAL DU CAPITOLE DE TOULOUSE);"RÊVER, ÉCOUTER, SE RETROUVER

UNE HEURE CONSACRÉE AUX CHEFS-D’ŒUVRE DU GRAND RÉPERTOIRE, AFIN DE DÉCOUVRIR LES PLUS BELLES PAGES SYMPHONIQUES

NIL VENDITTI : DIRECTION
HUGO BLACHER :TROMPETTE";"Les Concerts Happy Hour : un rendez-vous du samedi incontournable pour les mélomanes toulousains. Une heure, consacrée aux chefs-d’œuvre du grand répertoire, afin de découvrir les plus belles pages symphoniques. Hommage à l’Italie ! Directrice musicale de l’Orchestre de Toscane, la cheffe Nil Venditti nous invite à un voyage aux couleurs transalpines, baigné par le chatoiement de la Symphonie « italienne  » de Mendelssohn. Trompette solo de l’orchestre, Hugo Blacher permet de découvrir l’un des derniers élèves de Mozart : Johann Nepomuk Hummel. 

JOHANN NEPOMUK HUMMEL
CONCERTO POUR TROMPETTE
EN MI BÉMOL MAJEUR, S. 49
FÉLIX MENDELSSOHN
SYMPHONIE N° 4 « ITALIENNE »
EN LA MAJEUR, OP. 90";10/10/2020;10/10/2020;A 18h.;Le 10/10/2020 - A 18h.;;HALLE AUX GRAINS;;1 Place Dupuy;;31000;TOULOUSE;Musique;Concert;Musique classique;François Verdier;43.6002193;1.4533432;05 61 63 13 13;;www.onct.toulouse.fr;;;;;43.6002193,1.4533432
FMAMID031V50ISHI;;JEAN-LOUIS AUBERT;Son nouveau double album « REFUGE » est sorti le 15 novembre 2019.;"Avec la tournée OLO TOUR, Jean-Louis Aubert, seul en scène mais bien accompagné, retrouvera ses hologrammes à travers une nouvelle scénographie, toujours plus moderne et novatrice : entre performances live et moments très intimes, avec pour fil conducteur la poésie, la générosité et l’émotion qui lui sont si singulières.
Ce rendez-vous sera l’occasion de découvrir et partager les chansons du nouvel album, mais aussi ses titres incontournables.";10/12/2020;10/12/2020;A 20h.;Le 10/12/2020 - A 20h.;;ZENITH TOULOUSE METROPOLE;;11 Avenue Raymond Badiou;;31300;TOULOUSE;Musique;Concert;;Zénith;43.598264;1.4092542;;;;;;;;43.598264,1.4092542
FMAMID031V50IV0D;;L’ANNÉE LUDWIG PARFUM FRANÇAIS (ORCHESTRE NATIONAL DU CAPITOLE DE TOULOUSE);"RÊVER, ÉCOUTER, SE RETROUVER

FABIEN GABEL : DIRECTION
BENJAMIN GROSVENOR : PIANO";"Où Beethoven dialogue avec la France… Sous les doigts du jeune Benjamin Grosvenor, le Concerto n° 1 du maître allemand entame un duo avec des pages emblématiques de l’orchestre français. Ravel, Dukas, Roussel : un trio d’exception, qui manie chatoiement orchestral, énergie rythmique et modernité.
Fabien Gabel s’en fait le passeur idéal. 

PAUL DUKAS
LA PÉRI, POÈME DANSÉ
LUDWIG VAN BEETHOVEN
• CONCERTO POUR PIANO N° 1
EN UT MAJEUR, OP. 15
ALBERT ROUSSEL
BACCHUS ET ARIANE, SUITE N° 2, OP. 43
MAURICE RAVEL
LA VALSE, POÈME CHORÉGRAPHIQUE";14/11/2020;14/11/2020;A 20h.;Le 14/11/2020 - A 20h.;;HALLE AUX GRAINS;;1 Place Dupuy;;31000;TOULOUSE;Musique;Concert;Musique classique;François Verdier;43.6002193;1.4533432;05 61 63 13 13;;www.onct.toulouse.fr;;;;;43.6002193,1.4533432
FMAMID031V50ISH9;;LAURENT GERRA;Accompagné de 6 musiciens, l’humoriste parcourt de sa plume acérée ces 5 dernières décennies, notamment la nôtre, et nous promet une de ses plus belles cuvées !;"« Je m’appelle Laurent, j’ai 5 ans et je vais vous faire mes imitations. »
Cette phrase prononcée fièrement en 1972 par un petit garçon dans le microphone de ses parents fait écho au spectacle « SANS MODERATION » de LAURENT GERRA.
La scène en première récréation, l’imitation en seconde nature !
Il est devenu l’humoriste applaudi par des millions de Français, la radio et la télévision l’ont accompagné dans ses plus grands moments.
Le spectacle, « SANS MODERATION » se savoure entre jubilation et émotion.
Laurent Gerra rosse hommes politiques, chanteurs, acteurs, et personnalités faisant l’actualité.
Il revisite quelques-uns de ses grands sketchs avec ses cibles préférées et présente aussi sa vision inédite de l’actualité, notamment politique, avec une présidentielle à rebondissements…!";21/11/2020;21/11/2020;A 20h.;Le 21/11/2020 - A 20h.;;ZENITH TOULOUSE METROPOLE;;11 Avenue Raymond Badiou;;31300;TOULOUSE;Musique;Concert;;Zénith;43.598264;1.4092542;;;zenith-toulousemetropole.com/programmation/laurent-gerra-2216.html;;;;;43.598264,1.4092542
FMAMID031V50IIV6;;LE FESTIN DE FEBUS : EXPOSITION;Revivez le somptueux festin, qui fut organisé par le Comte Fébus en 1390 au Couvent des Jacobins afin de recevoir toute la suite du roi de France.;"Cette exposition sera installée au sein même d’un décor de banquet médiéval et permettra au visiteur de mieux comprendre les différentes dimensions d’un festin du XIVeme siècle (gastronomie et objets servant au service, spectacles et musiques, enjeux géostratégiques…).

Entrée de l’exposition comprise dans le prix d’un billet d’entrée au cloître";24/11/2020;28/02/2021;Du mardi au dimanche.;Du 24/11/2020 au 28/02/2021 - Du mardi au dimanche.;;COUVENT DES JACOBINS;;Parvis des Jacobins;;31000;TOULOUSE;Culturelle;Animations, Exposition;;Capitole;43.6034816;1.4404851;;;jacobins.toulouse.fr;;;;;43.6034816,1.4404851
FMAMID031V50IW1Y;;LE TOUR DU MONDE EN 80 MINUTES (LES CONCERTS EN FAMILLE);"UNE HEURE EN FAMILLE POUR FAIRE SES PREMIERS PAS AVEC L’ORCHESTRE OU APPROFONDIR SES CONNAISSANCES

FAIRE SES PREMIERS PAS AVEC L’ORCHESTRE";"CHRISTOPHE MANGOU DIRECTION 

Les concerts destinés au jeune public prolongent la thématique du voyage, omniprésente dans cette nouvelle saison : tour du monde en musique, aventures d’une petite souris malicieuse, contes des mille et une nuits… Autant de découvertes placées sous la houlette de Christophe Mangou qui permettront aux jeunes, des plus petits aux adolescents, de découvrir ou
approfondir leurs connaissances de l’univers de l’orchestre.

Russie, Hongrie, France, Espagne, Argentine, États-Unis d’Amérique, Kazakhstan… L’Orchestre nous invite à voyager pour découvrir que certains compositeurs, afin d’écrire leurs plus beaux chefs-d’œuvre, s’inspirent des musiques traditionnelles de leurs pays. Ce tour du monde en quatrevingts minutes ne laissera personne indiffe´rent !";22/11/2020;22/11/2020;Dimanche à 10h45.;Le 22/11/2020 - Dimanche à 10h45.;;HALLE AUX GRAINS;;1 Place Dupuy;;31000;TOULOUSE;Musique;Concert;Musique classique;François Verdier;43.6002193;1.4533432;05 61 63 13 13;;www.onct.toulouse.fr;;;;8 - 12 ans  /  plus de 12 ans;43.6002193,1.4533432
